Date,Shop,916 Price,999 Price
8/5/2025 11:49,Poh Kong,510,560
8/6/2025 11:49,Poh Kong,510,560
8/7/2025 11:49,Poh Kong,510,560
8/8/2025 11:49,Poh Kong,510,560
8/9/2025 11:49,Poh Kong,510,560
8/10/2025 11:49,Poh Kong,510,560
8/11/2025 11:49,Poh Kong,510,560
8/12/2025 11:49,Poh Kong,510,560
8/14/2025 11:49,Poh Kong,510,560
8/15/2025 11:49,Poh Kong,510,560
8/16/2025 11:49,Poh Kong,510,560
8/17/2025 11:49,Poh Kong,510,560
8/18/2025 11:49,Poh Kong,510,560
8/19/2025 11:49,Poh Kong,510,560
8/20/2025 11:49,Poh Kong,510,560
8/21/2025 11:49,Poh Kong,510,560
8/22/2025 11:49,Poh Kong,510,560
8/23/2025 11:49,Poh Kong,510,560
8/24/2025 11:49,Poh Kong,510,560
8/25/2025 11:49,Poh Kong,510,560
8/26/2025 11:49,Poh Kong,510,560
8/27/2025 11:49,Poh Kong,510,560
8/28/2025 11:49,Poh Kong,510,560
8/30/2025 11:49,Poh Kong,510,560
8/31/2025 11:49,Poh Kong,510,560
9/1/2025 11:49,Poh Kong,510,560
9/2/2025 11:49,Poh Kong,510,560
9/3/2025 11:49,Poh Kong,525,575
9/4/2025 11:49,Poh Kong,525,575
9/5/2025 11:49,Poh Kong,525,575
9/6/2025 11:49,Poh Kong,525,575
9/7/2025 11:49,Poh Kong,525,575
9/8/2025 11:49,Poh Kong,525,575
9/9/2025 11:49,Poh Kong,525,575
9/10/2025 11:49,Poh Kong,525,575
9/12/2025 11:49,Poh Kong,525,575
9/13/2025 11:49,Poh Kong,525,575
9/14/2025 11:49,Poh Kong,525,575
9/15/2025 11:49,Poh Kong,525,575
9/16/2025 11:49,Poh Kong,525,575
9/17/2025 11:49,Poh Kong,540,590
9/18/2025 11:49,Poh Kong,540,590
9/19/2025 11:49,Poh Kong,540,590
9/20/2025 11:49,Poh Kong,540,590
9/21/2025 11:49,Poh Kong,540,590
9/22/2025 11:51,Poh Kong,540,590
9/23/2025 11:50,Poh Kong,540,590
9/24/2025 11:49,Poh Kong,540,590
9/25/2025 11:49,Poh Kong,555,605
9/26/2025 11:49,Poh Kong,555,605
9/27/2025 11:51,Poh Kong,555,605
9/28/2025 11:49,Poh Kong,555,605
9/29/2025 11:49,Poh Kong,555,605
9/30/2025 11:49,Poh Kong,555,605
10/1/2025 11:49,Poh Kong,555,605
10/2/2025 11:49,Poh Kong,555,605
10/3/2025 11:49,Poh Kong,555,605
10/4/2025 11:49,Poh Kong,555,605
10/5/2025 11:49,Poh Kong,555,605
10/6/2025 11:49,Poh Kong,555,605
10/7/2025 11:49,Poh Kong,555,605
10/8/2025 11:49,Poh Kong,570,620
10/9/2025 11:49,Poh Kong,570,620
10/10/2025 11:49,Poh Kong,590,640
10/11/2025 11:49,Poh Kong,590,640
10/12/2025 11:49,Poh Kong,590,640
10/13/2025 11:49,Poh Kong,590,640
10/14/2025 11:50,Poh Kong,590,640
10/15/2025 11:49,Poh Kong,610,660
10/16/2025 11:49,Poh Kong,610,660
10/17/2025 11:50,Poh Kong,610,660
10/18/2025 11:49,Poh Kong,610,660
10/19/2025 11:49,Poh Kong,610,660
10/20/2025 11:49,Poh Kong,610,660
10/21/2025 11:49,Poh Kong,630,680
10/22/2025 11:50,Poh Kong,610,660
10/23/2025 11:49,Poh Kong,610,660
10/24/2025 11:49,Poh Kong,610,660
10/25/2025 11:49,Poh Kong,610,660
10/26/2025 11:49,Poh Kong,610,660
10/27/2025 11:49,Poh Kong,610,660
10/28/2025 11:49,Poh Kong,610,660
10/29/2025 11:49,Poh Kong,595,640
10/30/2025 11:49,Poh Kong,595,640
10/31/2025 11:49,Poh Kong,595,640
11/1/2025 11:49,Poh Kong,595,640
11/2/2025 11:49,Poh Kong,595,640
11/3/2025 11:49,Poh Kong,595,640
11/4/2025 11:49,Poh Kong,595,640
11/5/2025 11:49,Poh Kong,595,640
11/6/2025 11:49,Poh Kong,595,640
11/7/2025 11:49,Poh Kong,595,640
11/8/2025 11:49,Poh Kong,595,640
11/9/2025 11:49,Poh Kong,595,640
11/11/2025 11:49,Poh Kong,595,640
11/12/2025 11:49,Poh Kong,595,640
11/13/2025 11:49,Poh Kong,595,640
11/14/2025 11:49,Poh Kong,595,640
11/15/2025 11:49,Poh Kong,595,640
11/16/2025 11:49,Poh Kong,595,640
11/17/2025 11:49,Poh Kong,595,640
11/18/2025 11:49,Poh Kong,595,640
11/19/2025 11:49,Poh Kong,595,640
11/20/2025 11:49,Poh Kong,595,640
11/21/2025 11:49,Poh Kong,595,640
11/22/2025 11:49,Poh Kong,595,640
11/23/2025 11:49,Poh Kong,595,640
11/24/2025 11:49,Poh Kong,595,640
11/25/2025 11:49,Poh Kong,595,640
11/26/2025 11:49,Poh Kong,595,640
11/27/2025 11:49,Poh Kong,595,640
11/28/2025 11:49,Poh Kong,595,640
11/29/2025 11:49,Poh Kong,595,640
11/30/2025 11:49,Poh Kong,595,640
12/1/2025 11:49,Poh Kong,595,640
12/2/2025 11:49,Poh Kong,595,640
12/3/2025 11:49,Poh Kong,595,640
12/4/2025 11:49,Poh Kong,595,640
12/5/2025 11:49,Poh Kong,595,640
12/6/2025 11:49,Poh Kong,595,640
12/7/2025 11:49,Poh Kong,595,640
12/8/2025 11:49,Poh Kong,595,640
12/9/2025 11:49,Poh Kong,595,640
12/10/2025 11:49,Poh Kong,595,640
12/11/2025 11:49,Poh Kong,595,640
12/12/2025 11:49,Poh Kong,595,640
12/13/2025 11:49,Poh Kong,595,640
12/14/2025 11:49,Poh Kong,595,640
12/15/2025 11:49,Poh Kong,595,640
12/16/2025 11:49,Poh Kong,595,640
12/17/2025 11:49,Poh Kong,595,640
12/18/2025 11:49,Poh Kong,610,660
12/19/2025 11:49,Poh Kong,610,660
12/20/2025 11:49,Poh Kong,610,660
12/21/2025 11:49,Poh Kong,610,660
12/22/2025 11:49,Poh Kong,610,660
12/23/2025 11:50,Poh Kong,630,680
12/24/2025 11:50,Poh Kong,630,680
12/25/2025 11:49,Poh Kong,630,680
12/26/2025 11:49,Poh Kong,630,680
12/27/2025 11:49,Poh Kong,630,680
12/28/2025 11:50,Poh Kong,630,680
12/29/2025 11:49,Poh Kong,630,680
12/30/2025 11:49,Poh Kong,630,680
12/31/2025 11:49,Poh Kong,630,680
1/1/2026 11:49,Poh Kong,630,680
1/2/2026 11:49,Poh Kong,630,680
1/3/2026 11:49,Poh Kong,630,680
1/4/2026 11:49,Poh Kong,630,680
1/5/2026 11:49,Poh Kong,630,680
1/6/2026 11:49,Poh Kong,630,680
1/7/2026 11:49,Poh Kong,630,680
1/8/2026 11:49,Poh Kong,630,680
1/9/2026 11:49,Poh Kong,630,680
1/10/2026 11:49,Poh Kong,630,680
1/11/2026 11:49,Poh Kong,630,680
1/12/2026 11:49,Poh Kong,630,680
1/13/2026 11:49,Poh Kong,650,700
1/14/2026 11:49,Poh Kong,650,700
1/15/2026 11:49,Poh Kong,650,700
1/16/2026 11:49,Poh Kong,650,700
1/17/2026 11:49,Poh Kong,650,700
1/18/2026 11:49,Poh Kong,650,700
1/19/2026 11:49,Poh Kong,650,700
1/20/2026 11:49,Poh Kong,650,700
1/21/2026 11:49,Poh Kong,670,720
1/22/2026 11:49,Poh Kong,670,720
1/23/2026 11:49,Poh Kong,670,720
1/24/2026 11:49,Poh Kong,670,720
1/25/2026 11:49,Poh Kong,670,720
1/26/2026 11:49,Poh Kong,700,750
1/27/2026 11:49,Poh Kong,700,750
1/28/2026 11:49,Poh Kong,700,750
1/29/2026 11:49,Poh Kong,730,780
1/30/2026 11:49,Poh Kong,730,780
1/31/2026 11:49,Poh Kong,700,750
2/1/2026 11:49,Poh Kong,700,750
2/2/2026 11:50,Poh Kong,700,750
2/3/2026 11:49,Poh Kong,670,720
2/4/2026 11:49,Poh Kong,670,720
2/5/2026 11:49,Poh Kong,700,750
2/6/2026 11:49,Poh Kong,680,730
2/7/2026 11:49,Poh Kong,680,730
2/8/2026 11:49,Poh Kong,680,730
2/9/2026 11:49,Poh Kong,680,730
2/10/2026 11:50,Poh Kong,680,730
2/11/2026 11:49,Poh Kong,680,730
2/12/2026 11:49,Poh Kong,680,730
2/13/2026 11:49,Poh Kong,680,730
2/14/2026 11:49,Poh Kong,680,730
2/15/2026 11:49,Poh Kong,680,730
2/16/2026 11:49,Poh Kong,680,730
2/17/2026 11:49,Poh Kong,680,730
2/18/2026 11:49,Poh Kong,680,730
2/19/2026 11:49,Poh Kong,680,730
2/20/2026 11:49,Poh Kong,680,730
2/21/2026 11:49,Poh Kong,680,730
2/22/2026 11:49,Poh Kong,680,730
2/23/2026 11:49,Poh Kong,680,730
2/24/2026 11:49,Poh Kong,680,730
2/25/2026 11:49,Poh Kong,700,750
2/26/2026 11:49,Poh Kong,700,750
2/27/2026 11:49,Poh Kong,700,750
2/28/2026 11:49,Poh Kong,700,750
3/1/2026 11:49,Poh Kong,700,750
3/2/2026 11:49,Poh Kong,720,770
3/3/2026 11:50,Poh Kong,720,770
3/4/2026 11:49,Poh Kong,720,770
3/5/2026 11:49,Poh Kong,720,770
3/6/2026 11:49,Poh Kong,700,750
3/7/2026 11:49,Poh Kong,700,750
3/8/2026 11:49,Poh Kong,700,750
3/9/2026 11:49,Poh Kong,700,750
3/10/2026 11:49,Poh Kong,700,750
3/11/2026 11:49,Poh Kong,700,750
3/12/2026 11:49,Poh Kong,700,750
3/13/2026 11:49,Poh Kong,700,750
3/14/2026 11:49,Poh Kong,700,750
3/15/2026 11:49,Poh Kong,700,750
3/16/2026 11:49,Poh Kong,700,750
3/17/2026 11:49,Poh Kong,700,750
3/18/2026 11:49,Poh Kong,700,750
3/19/2026 11:49,Poh Kong,680,730
3/20/2026 11:49,Poh Kong,680,730
3/21/2026 11:49,Poh Kong,680,730
3/22/2026 11:49,Poh Kong,680,730
3/23/2026 11:50,Poh Kong,680,730
3/24/2026 11:50,Poh Kong,660,710
3/25/2026 11:49,Poh Kong,660,710
3/26/2026 11:49,Poh Kong,660,710
3/27/2026 11:49,Poh Kong,660,710
3/28/2026 11:49,Poh Kong,660,710
3/29/2026 11:49,Poh Kong,660,710
3/30/2026 11:49,Poh Kong,660,710
3/31/2026 11:49,Poh Kong,660,710
4/1/2026 11:49,Poh Kong,660,710
4/2/2026 11:49,Poh Kong,660,710
4/3/2026 11:49,Poh Kong,660,710
4/4/2026 11:49,Poh Kong,660,710
4/5/2026 11:49,Poh Kong,660,710
4/6/2026 11:49,Poh Kong,660,710
4/7/2026 11:49,Poh Kong,660,710
4/8/2026 11:49,Poh Kong,660,710
4/10/2026 11:49,Poh Kong,660,710
4/11/2026 13:11,Poh Kong,660,710
4/12/2026 13:11,Poh Kong,660,710
4/13/2026 13:11,Poh Kong,660,710
4/14/2026 13:11,Poh Kong,660,710
4/16/2026 13:11,Poh Kong,660,710
4/17/2026 13:11,Poh Kong,660,710
4/18/2026 13:11,Poh Kong,660,710
4/21/2026 13:11,Poh Kong,660,710
4/23/2026 13:11,Poh Kong,660,710
4/24/2026 13:11,Poh Kong,660,710
4/25/2026 13:11,Poh Kong,660,710
4/26/2026 13:11,Poh Kong,660,710
4/27/2026 13:11,Poh Kong,660,710
4/28/2026 13:11,Poh Kong,660,710
4/29/2026 13:11,Poh Kong,660,710
4/30/2026 13:11,Poh Kong,660,710
5/1/2026 13:11,Poh Kong,660,710
5/2/2026 13:11,Poh Kong,660,710
5/3/2026 13:11,Poh Kong,660,710
5/4/2026 13:11,Poh Kong,660,710
5/6/2026 13:11,Poh Kong,660,710
5/7/2026 13:11,Poh Kong,660,710
5/8/2026 13:11,Poh Kong,660,710
5/9/2026 13:11,Poh Kong,660,710
5/10/2026 13:11,Poh Kong,660,710
5/11/2026 13:11,Poh Kong,660,710
5/12/2026 13:11,Poh Kong,660,710
5/13/2026 13:11,Poh Kong,660,710
5/14/2026 13:11,Poh Kong,660,710
5/15/2026 13:11,Poh Kong,660,710
5/16/2026 13:11,Poh Kong,660,710
5/17/2026 13:11,Poh Kong,660,710
5/19/2026 13:11,Poh Kong,650,700
5/20/2026 13:11,Poh Kong,650,700
5/21/2026 13:11,Poh Kong,650,700
5/23/2026 13:11,Poh Kong,650,700
5/24/2026 13:11,Poh Kong,650,700
5/25/2026 13:11,Poh Kong,650,700
5/26/2026 13:11,Poh Kong,650,700
5/27/2026 13:11,Poh Kong,650,700
5/28/2026 13:11,Poh Kong,650,700
5/29/2026 13:11,Poh Kong,640,690
5/30/2026 13:11,Poh Kong,640,690
5/31/2026 13:11,Poh Kong,640,690
6/1/2026 13:11,Poh Kong,640,690
6/2/2026 13:11,Poh Kong,640,690
6/3/2026 13:11,Poh Kong,640,690
6/4/2026 13:11,Poh Kong,640,690
6/5/2026 13:11,Poh Kong,640,690
6/6/2026 13:11,Poh Kong,640,690
6/7/2026 13:11,Poh Kong,640,690
6/8/2026 13:11,Poh Kong,640,690
6/9/2026 13:11,Poh Kong,640,690
6/10/2026 11:17,Poh Kong,640,690
6/11/2026 11:17,Poh Kong,630,680
